Start date,End date,Belgium [€/MWh] Original resolutions
Feb 18, 2022 11:00 PM,92.46
Feb 19, 2022 12:00 AM,73.73
Feb 19, 2022 1:00 AM,54.32
Feb 19, 2022 2:00 AM,16.63
Feb 19, 2022 3:00 AM,14.38
Feb 19, 2022 4:00 AM,10.96
Feb 19, 2022 5:00 AM,9.06
Feb 19, 2022 6:00 AM,0.1
Feb 19, 2022 7:00 AM,3.62
Feb 19, 2022 8:00 AM,9.42
Feb 19, 2022 9:00 AM,1.94
Feb 19, 2022 10:00 AM,0
Feb 19, 2022 11:00 AM,-0.08
Feb 19, 2022 12:00 PM,-0.35
Feb 19, 2022 1:00 PM,-0.52
Feb 19, 2022 2:00 PM,-0.08
Feb 19, 2022 3:00 PM,0.08
Feb 19, 2022 4:00 PM,15.69
Feb 19, 2022 5:00 PM,99.95
Feb 19, 2022 6:00 PM,121.97
Feb 19, 2022 7:00 PM,112.63
Feb 19, 2022 8:00 PM,102.52
Feb 19, 2022 9:00 PM,101.89
Feb 19, 2022 10:00 PM,101.99
Feb 19, 2022 11:00 PM,100.93
Feb 20, 2022 12:00 AM,104.38
Feb 20, 2022 1:00 AM,99.9
Feb 20, 2022 2:00 AM,98.71
Feb 20, 2022 3:00 AM,92.01
Feb 20, 2022 4:00 AM,88.53
Feb 20, 2022 5:00 AM,87.17
Feb 20, 2022 6:00 AM,80
Feb 20, 2022 7:00 AM,80.08
Feb 20, 2022 8:00 AM,88.28
Feb 20, 2022 9:00 AM,95.06
Feb 20, 2022 10:00 AM,98.22
Feb 20, 2022 11:00 AM,95.09
Feb 20, 2022 12:00 PM,88.15
Feb 20, 2022 1:00 PM,51.8
Feb 20, 2022 2:00 PM,43.11
Feb 20, 2022 3:00 PM,21.24
Feb 20, 2022 4:00 PM,21.56
Feb 20, 2022 5:00 PM,63.16
Feb 20, 2022 6:00 PM,76.93
Feb 20, 2022 7:00 PM,51.28
Feb 20, 2022 8:00 PM,20.02
Feb 20, 2022 9:00 PM,15.39
Feb 20, 2022 10:00 PM,40.06
Feb 20, 2022 11:00 PM,14.62
Feb 21, 2022 12:00 AM,10.73
Feb 21, 2022 1:00 AM,7.48
Feb 21, 2022 2:00 AM,5.71
Feb 21, 2022 3:00 AM,1.43
Feb 21, 2022 4:00 AM,7.6
Feb 21, 2022 5:00 AM,14.37
Feb 21, 2022 6:00 AM,19.75
Feb 21, 2022 7:00 AM,106.69
Feb 21, 2022 8:00 AM,110.06
Feb 21, 2022 9:00 AM,88.28
Feb 21, 2022 10:00 AM,65.51
Feb 21, 2022 11:00 AM,78.22
Feb 21, 2022 12:00 PM,92.02
Feb 21, 2022 1:00 PM,99.9
Feb 21, 2022 2:00 PM,104.92
Feb 21, 2022 3:00 PM,108.77
Feb 21, 2022 4:00 PM,103.46
Feb 21, 2022 5:00 PM,117.78
Feb 21, 2022 6:00 PM,135.59
Feb 21, 2022 7:00 PM,123.63
Feb 21, 2022 8:00 PM,110.71
Feb 21, 2022 9:00 PM,102
Feb 21, 2022 10:00 PM,102.83
Feb 21, 2022 11:00 PM,92.55
Feb 22, 2022 12:00 AM,89.99
Feb 22, 2022 1:00 AM,82.14
Feb 22, 2022 2:00 AM,80.34
Feb 22, 2022 3:00 AM,79.9
Feb 22, 2022 4:00 AM,88.16
Feb 22, 2022 5:00 AM,95.36
Feb 22, 2022 6:00 AM,117.86
Feb 22, 2022 7:00 AM,185.78
Feb 22, 2022 8:00 AM,211.59
Feb 22, 2022 9:00 AM,180.27
Feb 22, 2022 10:00 AM,144.08
Feb 22, 2022 11:00 AM,135.04
Feb 22, 2022 12:00 PM,121.25
Feb 22, 2022 1:00 PM,117.66
Feb 22, 2022 2:00 PM,118.87
Feb 22, 2022 3:00 PM,125.29
Feb 22, 2022 4:00 PM,136.7
Feb 22, 2022 5:00 PM,155.21
Feb 22, 2022 6:00 PM,162.62
Feb 22, 2022 7:00 PM,135.49
Feb 22, 2022 8:00 PM,108.62
Feb 22, 2022 9:00 PM,100.54
Feb 22, 2022 10:00 PM,99.99
Feb 22, 2022 11:00 PM,85.08
Feb 23, 2022 12:00 AM,81.79
Feb 23, 2022 1:00 AM,78.96
Feb 23, 2022 2:00 AM,82.28
Feb 23, 2022 3:00 AM,88.34
Feb 23, 2022 4:00 AM,97.32
Feb 23, 2022 5:00 AM,101.7
Feb 23, 2022 6:00 AM,118.36
Feb 23, 2022 7:00 AM,147.54
Feb 23, 2022 8:00 AM,155.03
Feb 23, 2022 9:00 AM,126.44
Feb 23, 2022 10:00 AM,109.43
Feb 23, 2022 11:00 AM,103.51
Feb 23, 2022 12:00 PM,89.9
Feb 23, 2022 1:00 PM,89.9
Feb 23, 2022 2:00 PM,100.9
Feb 23, 2022 3:00 PM,109.49
Feb 23, 2022 4:00 PM,162.8
Feb 23, 2022 5:00 PM,205.72
Feb 23, 2022 6:00 PM,230
Feb 23, 2022 7:00 PM,236.86
Feb 23, 2022 8:00 PM,187.04
Feb 23, 2022 9:00 PM,164.6
Feb 23, 2022 10:00 PM,146.62
Feb 23, 2022 11:00 PM,107.6
Feb 24, 2022 12:00 AM,115.07
Feb 24, 2022 1:00 AM,113.04
Feb 24, 2022 2:00 AM,110.33
Feb 24, 2022 3:00 AM,109.29
Feb 24, 2022 4:00 AM,112.36
Feb 24, 2022 5:00 AM,116.77
Feb 24, 2022 6:00 AM,168.5
Feb 24, 2022 7:00 AM,184.77
Feb 24, 2022 8:00 AM,160
Feb 24, 2022 9:00 AM,137.34
Feb 24, 2022 10:00 AM,117.47
Feb 24, 2022 11:00 AM,112.78
Feb 24, 2022 12:00 PM,107.58
Feb 24, 2022 1:00 PM,105.02
Feb 24, 2022 2:00 PM,105.1
Feb 24, 2022 3:00 PM,112.4
Feb 24, 2022 4:00 PM,113.73
Feb 24, 2022 5:00 PM,146.57
Feb 24, 2022 6:00 PM,155.38
Feb 24, 2022 7:00 PM,134.74
Feb 24, 2022 8:00 PM,110.07
Feb 24, 2022 9:00 PM,104.53
Feb 24, 2022 10:00 PM,109.95
Feb 24, 2022 11:00 PM,98.51
Feb 25, 2022 12:00 AM,94.78
Feb 25, 2022 1:00 AM,100.4
Feb 25, 2022 2:00 AM,98.67
Feb 25, 2022 3:00 AM,99.61
Feb 25, 2022 4:00 AM,100.25
Feb 25, 2022 5:00 AM,95.98
Feb 25, 2022 6:00 AM,116.99
Feb 25, 2022 7:00 AM,133.53
Feb 25, 2022 8:00 AM,125.02
Feb 25, 2022 9:00 AM,107.16
Feb 25, 2022 10:00 AM,98.38
Feb 25, 2022 11:00 AM,100.25
Feb 25, 2022 12:00 PM,89.93
Feb 25, 2022 1:00 PM,97.07
Feb 25, 2022 2:00 PM,93.67
Feb 25, 2022 3:00 PM,98.52
Feb 25, 2022 4:00 PM,119.54
Feb 25, 2022 5:00 PM,146.87
Feb 25, 2022 6:00 PM,190.05
Feb 25, 2022 7:00 PM,198.07
Feb 25, 2022 8:00 PM,160.68
Feb 25, 2022 9:00 PM,145.54
Feb 25, 2022 10:00 PM,135.13
Feb 25, 2022 11:00 PM,132.89
Feb 26, 2022 12:00 AM,150.09
Feb 26, 2022 1:00 AM,152.6
Feb 26, 2022 2:00 AM,174.05
Feb 26, 2022 3:00 AM,187.92
Feb 26, 2022 4:00 AM,190.69
Feb 26, 2022 5:00 AM,237.17
Feb 26, 2022 6:00 AM,249.98
Feb 26, 2022 7:00 AM,263.46
Feb 26, 2022 8:00 AM,275.57
Feb 26, 2022 9:00 AM,267.37
Feb 26, 2022 10:00 AM,245.75
Feb 26, 2022 11:00 AM,213.02
Feb 26, 2022 12:00 PM,196.64
Feb 26, 2022 1:00 PM,178.97
Feb 26, 2022 2:00 PM,177.04
Feb 26, 2022 3:00 PM,197.47
Feb 26, 2022 4:00 PM,225.08
Feb 26, 2022 5:00 PM,259.9
Feb 26, 2022 6:00 PM,299
Feb 26, 2022 7:00 PM,300.7
Feb 26, 2022 8:00 PM,277.91
Feb 26, 2022 9:00 PM,235.8
Feb 26, 2022 10:00 PM,242.15
Feb 26, 2022 11:00 PM,212.09
Feb 27, 2022 12:00 AM,195.65
Feb 27, 2022 1:00 AM,180.7
Feb 27, 2022 2:00 AM,174.44
Feb 27, 2022 3:00 AM,172.31
Feb 27, 2022 4:00 AM,174.5
Feb 27, 2022 5:00 AM,177.1
Feb 27, 2022 6:00 AM,186.05
Feb 27, 2022 7:00 AM,191.54
Feb 27, 2022 8:00 AM,189.37
Feb 27, 2022 9:00 AM,173.75
Feb 27, 2022 10:00 AM,154.07
Feb 27, 2022 11:00 AM,144.76
Feb 27, 2022 12:00 PM,116.53
Feb 27, 2022 1:00 PM,114
Feb 27, 2022 2:00 PM,111.68
Feb 27, 2022 3:00 PM,151.54
Feb 27, 2022 4:00 PM,176.15
Feb 27, 2022 5:00 PM,229.9
Feb 27, 2022 6:00 PM,275.76
Feb 27, 2022 7:00 PM,274.5
Feb 27, 2022 8:00 PM,220.7
Feb 27, 2022 9:00 PM,197.8
Feb 27, 2022 10:00 PM,197.78
Feb 27, 2022 11:00 PM,197.22
Feb 28, 2022 12:00 AM,177.39
Feb 28, 2022 1:00 AM,174.06
Feb 28, 2022 2:00 AM,185.57
Feb 28, 2022 3:00 AM,178.26
Feb 28, 2022 4:00 AM,197
Feb 28, 2022 5:00 AM,217
Feb 28, 2022 6:00 AM,284.97
Feb 28, 2022 7:00 AM,322.9
Feb 28, 2022 8:00 AM,308.9
Feb 28, 2022 9:00 AM,267.3
Feb 28, 2022 10:00 AM,163.82
Feb 28, 2022 11:00 AM,145.55
Feb 28, 2022 12:00 PM,137.09
Feb 28, 2022 1:00 PM,135.4
